A1BG	0
A1BG-AS1	1
A1CF	0
A2M	35
A2M-AS1	46
A2ML1	0
A2ML1-AS1	17
A2ML1-AS2	0
A2MP1	2
A3GALT2	345
A4GALT	0
A4GNT	0
AA06	0
AAAS	6
AACS	11
AACSP1	1
AADAC	0
AADACL2	0
AADACL2-AS1	0
AADACL3	0
AADACL4	0
AADACP1	0
AADAT	6
AAED1	9
AAGAB	50
AAK1	4
AAMDC	4
AAMP	13
AANAT	0
AAR2	84
AARD	1
AARS	7
AARS2	105
AARSD1	4
AASDH	20
AASDHPPT	30
AASS	36
AATBC	0
AATF	3
AATK	0
AATK-AS1	1
AB015752.3	67
AB019440.50	0
ABAT	2
ABBA01000934.1	5
ABC11-4932300O16.1	1
ABC12-47043100G14.2	3
ABC12-47964100C23.1	7
ABC13-47488600E17.1	0
ABC13-47656900H15.1	4
ABC14-1188822O7.1	0
ABC7-42389800N19.1	623
ABC7-42404400C24.1	0
ABC7-42418200C9.1	1
ABC7-43046700E7.1	15
ABC7-481722F1.2	1
ABCA1	17
ABCA10	16
ABCA11P	0
ABCA12	1
ABCA13	0
ABCA17P	0
ABCA2	3
ABCA3	4
ABCA4	0
ABCA5	78
ABCA6	12
ABCA7	1
ABCA8	5
ABCA9	6
ABCA9-AS1	0
ABCB1	10
ABCB10	6
ABCB11	6
ABCB4	91
ABCB5	2
ABCB6	0
ABCB7	8
ABCB8	8
ABCB9	17
ABCC1	12
ABCC10	6
ABCC11	1
ABCC12	0
ABCC13	0
ABCC2	1
ABCC3	0
ABCC4	1
ABCC5	13
ABCC5-AS1	3
ABCC6	1
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	1
ABCD1	111
ABCD1P2	0
ABCD1P3	0
ABCD1P4	0
ABCD1P5	0
ABCD2	1004
ABCD3	22
ABCD4	7
ABCE1	26
ABCF1	70
ABCF2	21
ABCF2P2	0
ABCF3	13
ABCG1	5
ABCG2	2
ABCG4	1
ABCG5	0
ABCG8	2
ABHD1	1
ABHD10	33
ABHD11	20
ABHD11-AS1	0
ABHD12	5
ABHD12B	1
ABHD13	529
ABHD14A	3
ABHD14A-ACY1	10
ABHD14B	5
ABHD15	11
ABHD15-AS1	82
ABHD16A	7
ABHD17A	42
ABHD17AP1	4
ABHD17AP3	0
ABHD17AP4	0
ABHD17AP5	0
ABHD17AP6	1
ABHD17AP7	0
ABHD17AP8	0
ABHD17AP9	0
ABHD17B	53
ABHD17C	13
ABHD18	21
ABHD2	25
ABHD3	4
ABHD4	18
ABHD5	23
ABHD6	2
ABHD8	4
ABI1	17
ABI1P1	0
ABI2	3
ABI3	0
ABI3BP	0
ABL1	66
ABL2	17
ABLIM1	2
ABLIM2	39
ABLIM3	21
ABO	3
ABR	3
ABRA	4
ABRACL	7
ABT1	192
ABTB1	2
ABTB2	9
AC000032.2	1
AC000035.3	0
AC000036.4	0
AC000041.8	0
AC000067.1	0
AC000068.5	95
AC000077.2	0
AC000095.12	0
AC000099.1	0
AC000111.3	0
AC000111.6	0
AC000120.7	0
AC000123.4	0
AC000124.1	0
AC000362.1	0
AC000370.2	1
AC002056.5	0
AC002064.4	0
AC002064.5	22
AC002066.1	0
AC002076.10	2
AC002115.9	0
AC002116.7	116
AC002116.8	0
AC002117.1	10
AC002127.4	0
AC002128.5	1
AC002306.1	2
AC002310.10	0
AC002310.11	125
AC002310.12	36
AC002310.13	175
AC002310.7	5
AC002366.3	0
AC002368.4	14
AC002383.2	2
AC002386.1	0
AC002398.11	1
AC002398.12	5
AC002398.13	1
AC002398.9	39
AC002401.1	4
AC002407.3	0
AC002429.5	0
AC002451.3	2
AC002454.1	0
AC002456.2	0
AC002463.3	2
AC002465.2	0
AC002467.7	8
AC002472.11	1
AC002472.16	0
AC002472.8	0
AC002480.2	1
AC002480.3	0
AC002480.4	0
AC002480.5	0
AC002486.2	0
AC002511.2	0
AC002511.3	0
AC002519.6	0
AC002523.1	0
AC002539.1	0
AC002543.2	0
AC002550.5	14
AC002551.1	0
AC002985.3	1
AC003002.4	9
AC003002.6	0
AC003005.2	3
AC003005.4	1
AC003006.7	5
AC003009.1	0
AC003045.1	0
AC003075.4	0
AC003084.2	1
AC003088.1	8
AC003090.1	0
AC003092.1	0
AC003092.2	3
AC003101.1	10
AC003104.1	16
AC003682.16	9
AC003956.1	1
AC003958.2	78
AC003958.6	0
AC003973.4	0
AC003973.5	0
AC003984.1	0
AC003985.1	0
AC003986.5	5
AC003986.6	0
AC003986.7	52
AC003988.1	26
AC003991.3	3
AC004009.3	73
AC004012.1	24
AC004014.3	2
AC004019.13	7
AC004051.2	8
AC004054.1	0
AC004057.1	0
AC004063.1	0
AC004066.3	0
AC004069.2	2
AC004070.1	0
AC004076.7	284
AC004076.9	2
AC004112.4	0
AC004129.7	0
AC004156.3	5
AC004158.3	0
AC004160.4	0
AC004221.2	0
AC004231.2	38
AC004237.1	2
AC004257.1	1
AC004381.6	2
AC004381.7	15
AC004381.8	0
AC004448.5	0
AC004461.4	0
AC004471.10	6
AC004471.9	6
AC004485.3	1
AC004490.1	0
AC004535.2	0
AC004538.3	0
AC004540.4	0
AC004540.5	1
AC004543.2	0
AC004549.6	3
AC004556.1	98
AC004593.3	1
AC004623.2	0
AC004637.1	0
AC004691.5	1
AC004692.4	0
AC004702.2	160
AC004744.3	2
AC004754.3	0
AC004837.4	0
AC004837.5	0
AC004840.8	1
AC004854.5	1
AC004862.6	0
AC004866.3	0
AC004869.2	1
AC004869.3	0
AC004870.3	0
AC004870.4	0
AC004878.2	0
AC004878.8	0
AC004893.11	16
AC004895.4	0
AC004899.3	0
AC004901.1	0
AC004906.3	0
AC004920.3	0
AC004941.3	0
AC004947.2	0
AC004951.5	0
AC004951.6	207
AC004967.7	91
AC004980.7	33
AC004980.8	0
AC004980.9	36
AC004985.12	0
AC004988.1	6
AC005008.2	0
AC005009.1	0
AC005009.2	1
AC005013.5	0
AC005019.2	0
AC005019.3	1
AC005033.6	0
AC005037.3	1
AC005041.11	0
AC005042.5	2
