Name,Well,"Fluor:530/25,590/35"
CPEB4_s37202_unstim,A1,247
CPEB4_s37201_unstim,B1,1992
ELAVL1_s4610_unstim,C1,2313
BTG2_s15386_unstim,D1,2148
BTG2_s15385_unstim,E1,2002
water_unstim,F1,1204
,G1,1
,H1,0
CPEB4_s37202_unstim,A2,2015
CPEB4_s37201_unstim,B2,2360
ELAVL1_s4610_unstim,C2,2567
BTG2_s15386_unstim,D2,2263
BTG2_s15385_unstim,E2,2511
water_unstim,F2,1227
,G2,1
,H2,1
CPEB4_s37202_unstim,A3,1435
CPEB4_s37201_unstim,B3,2297
ELAVL1_s4610_unstim,C3,2531
BTG2_s15386_unstim,D3,2283
BTG2_s15385_unstim,E3,2553
water_unstim,F3,1312
,G3,1
,H3,1
CPEB4_s37202_unstim,A4,2302
CPEB4_s37201_unstim,B4,2353
ELAVL1_s4610_unstim,C4,2673
BTG2_s15386_unstim,D4,2239
BTG2_s15385_unstim,E4,2479
water_unstim,F4,1018
,G4,0
,H4,2
CPEB4_s37202_unstim,A5,2395
CPEB4_s37201_unstim,B5,2582
ELAVL1_s4610_unstim,C5,2666
BTG2_s15386_unstim,D5,2181
BTG2_s15385_unstim,E5,2267
water_unstim,F5,1234
,G5,0
,H5,1
CPEB4_s37202_unstim,A6,1994
CPEB4_s37201_unstim,B6,2433
ELAVL1_s4610_unstim,C6,2733
BTG2_s15386_unstim,D6,2333
BTG2_s15385_unstim,E6,2270
water_unstim,F6,1156
,G6,1
,H6,1
CPEB4_s37202_stim,A7,2138
CPEB4_s37201_stim,B7,2473
ELAVL1_s4610_stim,C7,2628
BTG2_s15386_stim,D7,2617
BTG2_s15385_stim,E7,2332
water_stim,F7,1250
,G7,2
,H7,1
CPEB4_s37202_stim,A8,2014
CPEB4_s37201_stim,B8,2021
ELAVL1_s4610_stim,C8,2449
BTG2_s15386_stim,D8,2445
BTG2_s15385_stim,E8,2278
water_stim,F8,1366
,G8,1
,H8,1
CPEB4_s37202_stim,A9,2194
CPEB4_s37201_stim,B9,2257
ELAVL1_s4610_stim,C9,2501
BTG2_s15386_stim,D9,2233
BTG2_s15385_stim,E9,2140
water_stim,F9,1166
mediaOnly,G9,236
mediaOnly,H9,230
CPEB4_s37202_stim,A10,2062
CPEB4_s37201_stim,B10,2262
ELAVL1_s4610_stim,C10,2555
BTG2_s15386_stim,D10,2191
BTG2_s15385_stim,E10,1990
water_stim,F10,1086
mediaOnly,G10,242
mediaOnly,H10,239
CPEB4_s37202_stim,A11,261
CPEB4_s37201_stim,B11,1792
ELAVL1_s4610_stim,C11,2474
BTG2_s15386_stim,D11,2061
BTG2_s15385_stim,E11,2046
water_stim,F11,1128
mediaOnly,G11,242
mediaOnly,H11,241
CPEB4_s37202_stim,A12,784
CPEB4_s37201_stim,B12,1540
ELAVL1_s4610_stim,C12,2110
BTG2_s15386_stim,D12,2218
BTG2_s15385_stim,E12,1758
water_stim,F12,1052
mediaOnly,G12,238
mediaOnly,H12,236
